FT,ToD,DoW,MO,DIR,MOVE
1728471000000,410,3,0,dn,mv
1728471300000,415,3,0,dn,nm
1728471600000,420,3,0,dn,nm
1728471900000,425,3,0,dn,nm
1728472200000,430,3,0,up,nm
1728472500000,435,3,0,dn,mv
1728472800000,440,3,0,dn,mv
1728473100000,445,3,0,dn,nm
1728473400000,450,3,0,dn,mv
1728473700000,455,3,0,up,nm
1728474000000,460,3,0,up,mv
1728474300000,465,3,0,dn,nm
1728474600000,470,3,0,dn,nm
1728474900000,475,3,0,dn,mv
1728475200000,480,3,0,up,nm
1728475500000,485,3,0,up,nm
1728475800000,490,3,0,dn,nm
1728476100000,495,3,0,up,nm
1728476400000,500,3,0,dn,mv
1728476700000,505,3,0,up,mv
1728477000000,510,3,0,dn,mv
1728477300000,515,3,0,up,mv
1728477600000,520,3,0,dn,mv
1728477900000,525,3,1,dn,mv
1728478200000,530,3,1,up,mv
1728478500000,535,3,1,up,mv
1728478800000,540,3,1,up,mv
1728479100000,545,3,1,up,mv
1728479400000,550,3,1,dn,nm
1728479700000,555,3,1,up,mv
1728480000000,560,3,1,dn,mv
1728480300000,565,3,1,dn,nm
1728480600000,570,3,1,dn,mv
1728480900000,575,3,1,up,mv
1728481200000,580,3,1,dn,mv
1728481500000,585,3,1,up,nm
1728481800000,590,3,1,up,nm
1728482100000,595,3,1,dn,mv
1728482400000,600,3,1,dn,mv
1728482700000,605,3,1,up,mv
1728483000000,610,3,1,up,mv
1728483300000,615,3,1,dn,mv
1728483600000,620,3,1,up,mv
1728483900000,625,3,1,up,nm
1728484200000,630,3,1,up,mv
1728484500000,635,3,1,up,nm
1728484800000,640,3,1,dn,mv
1728485100000,645,3,1,up,mv
1728485400000,650,3,1,up,mv
1728485700000,655,3,1,up,mv
1728486000000,660,3,1,up,mv
1728486300000,665,3,1,up,mv
1728486600000,670,3,1,up,mv
1728486900000,675,3,1,up,mv
1728487200000,680,3,1,up,mv
1728487500000,685,3,1,dn,mv
1728487800000,690,3,1,up,mv
1728488100000,695,3,1,up,mv
1728488400000,700,3,1,up,mv
1728488700000,705,3,1,up,mv
1728489000000,710,3,1,up,mv
1728489300000,715,3,1,dn,mv
1728489600000,720,3,1,dn,mv
1728489900000,725,3,1,up,mv
1728490200000,730,3,1,dn,nm
1728490500000,735,3,1,dn,mv
1728490800000,740,3,1,up,nm
1728491100000,745,3,1,dn,nm
1728491400000,750,3,1,dn,nm
1728491700000,755,3,1,up,mv
