FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729587300000,295,2,0,dn,dn,-1,-2,mv,mv,0.3929,0.7058
1729587600000,300,2,0,up,dn,1,-3.5,mv,mv,0.494,1.1289
1729587900000,305,2,0,dn,dn,-2,-7.25,mv,mv,0.9881,2.3258
1729588200000,310,2,0,dn,dn,-2.5,-5.5,mv,mv,1.5703,1.8096
1729588500000,315,2,0,dn,dn,-2.75,-1.25,mv,nm,1.9819,0.4125
1729588800000,320,2,0,dn,up,-0.25,2.5,nm,mv,0.1768,0.7697
1729589100000,325,2,0,up,dn,1.75,-0.25,mv,nm,1.3229,0.0761
1729589400000,330,2,0,up,dn,1,-3.5,mv,mv,0.5745,1.0633
1729589700000,335,2,0,dn,dn,-3,-5.75,mv,mv,1.7236,1.67
1729590000000,340,2,0,dn,dn,-1.5,-2.25,mv,mv,0.7938,0.6634
1729590300000,345,2,0,dn,dn,-1.25,-1,mv,nm,0.6992,0.3084
1729590600000,350,2,0,up,up,0.5,3.75,nm,mv,0.3144,1.17
1729590900000,355,2,0,dn,up,-0.25,5.5,nm,mv,0.1527,1.7178
1729591200000,360,2,0,up,up,3.5,5.25,mv,mv,2.6148,1.6818
1729591500000,365,2,0,up,up,2.25,1.5,mv,nm,1.1088,0.4533
1729591800000,370,2,0,dn,dn,-0.5,-3.5,nm,mv,0.2761,0.9378
1729592100000,375,2,0,dn,dn,-0.25,-2.75,nm,mv,0.1511,0.7187
1729592400000,380,2,0,dn,dn,-2.75,-3.5,mv,mv,1.844,0.9077
1729592700000,385,2,0,up,up,0.25,0.5,nm,nm,0.1235,0.1317
1729593000000,390,2,0,dn,dn,-1,0,nm,nm,0.4978,0
1729593300000,395,2,0,up,dn,1.25,-0.75,mv,nm,0.8385,0.2081
1729593600000,400,2,0,dn,dn,-0.25,-1.25,nm,nm,0.2041,0.345
1729593900000,405,2,0,dn,up,-1.75,1,mv,nm,1.4248,0.2789
1729594200000,410,2,0,up,up,0.75,2,nm,mv,0.5724,0.6159
1729594500000,415,2,0,up,up,2,1.5,mv,nm,1.9645,0.495
1729594800000,420,2,0,dn,up,-0.75,1,nm,nm,0.5785,0.3292
1729595100000,425,2,0,up,up,0.25,4.25,nm,mv,0.1981,1.4097
1729595400000,430,2,0,up,up,1.5,4,mv,mv,1.2752,1.3148
1729595700000,435,2,0,up,up,2.5,2,mv,mv,1.9528,0.6797
1729596000000,440,2,0,dn,up,0,0.5,nm,nm,0,0.1833
1729596300000,445,2,0,dn,dn,-0.5,-2.25,nm,mv,0.4308,0.822
1729596600000,450,2,0,up,dn,1,-3.5,nm,mv,0.8729,1.2948
1729596900000,455,2,0,dn,dn,-2.75,-2.75,mv,mv,2.7381,1.0455
1729597200000,460,2,0,dn,dn,-1.75,-0.5,mv,nm,1.0458,0.2015
1729597500000,465,2,0,up,up,1.75,4.25,mv,mv,1.0175,1.7984
1729597800000,470,2,0,dn,up,-0.5,5.75,nm,mv,0.3262,2.3785
1729598100000,475,2,0,up,up,3,4.75,mv,mv,1.9691,2.0801
1729598400000,480,2,0,up,up,3.25,2.75,mv,mv,1.6303,1.1551
1729598700000,485,2,0,dn,dn,-1.5,-0.25,mv,nm,0.6495,0.1005
1729599000000,490,2,0,up,dn,1,-1.5,nm,nm,0.4882,0.5686
1729599300000,495,2,0,up,dn,0.25,-5.5,nm,mv,0.1445,2.0763
1729599600000,500,2,0,dn,dn,-2.75,-9.25,mv,mv,1.5841,3.5167
1729599900000,505,2,0,dn,dn,-3,-8,mv,mv,1.3722,3.0254
1729600200000,510,2,0,dn,dn,-3.5,-6,mv,mv,1.5872,1.956
1729600500000,515,2,0,dn,dn,-1.5,-2.25,mv,mv,0.889,0.5869
1729600800000,520,2,0,dn,up,-1,2.75,nm,mv,0.5926,0.6454
1729601100000,525,2,1,up,up,0.25,1,nm,nm,0.1928,0.2249
1729601400000,530,2,1,up,dn,3.5,-2.25,mv,mv,2.6999,0.5237
1729601700000,535,2,1,dn,dn,-2.75,-0.5,mv,nm,1.1867,0.1183
1729602000000,540,2,1,dn,up,-3,3.75,mv,mv,1.3154,0.8948
1729602300000,545,2,1,up,up,5.25,8,mv,mv,2.3984,1.9141
1729602600000,550,2,1,up,up,1.5,2.25,mv,mv,0.4884,0.5388
1729602900000,555,2,1,up,dn,1.25,-0.5,mv,nm,0.4131,0.1168
1729603200000,560,2,1,dn,dn,-0.5,-1.75,nm,nm,0.1656,0.373
1729603500000,565,2,1,dn,dn,-1.25,-1.75,mv,nm,0.4434,0.3706
1729603800000,570,2,1,dn,up,0,3.25,nm,mv,0,0.7053
1729604100000,575,2,1,dn,up,-0.5,3.75,nm,mv,0.2371,0.8566
1729604400000,580,2,1,up,up,3.75,4,mv,mv,3.8032,0.9576
1729604700000,585,2,1,up,up,0.5,0.25,nm,nm,0.3022,0.0595
1729605000000,590,2,1,dn,up,-0.25,2.75,nm,mv,0.1545,0.6333
1729605300000,595,2,1,dn,up,0,7.5,nm,mv,0,1.6762
1729605600000,600,2,1,up,up,3,3.25,mv,mv,2.0716,0.7544
1729605900000,605,2,1,up,dn,4.5,-0.25,mv,nm,2.7068,0.0668
1729606200000,610,2,1,dn,dn,-4.25,-6.5,mv,mv,2.2408,1.8752
1729606500000,615,2,1,dn,dn,-0.5,-3,nm,mv,0.1814,1.0026
1729606800000,620,2,1,dn,dn,-1.75,-3,mv,mv,0.6281,1.0445
1729607100000,625,2,1,dn,dn,-0.75,-2.5,nm,mv,0.2586,0.7235
1729607400000,630,2,1,dn,up,-0.5,1.25,nm,nm,0.1712,0.3469
1729607700000,635,2,1,dn,up,-1.25,7,mv,mv,0.4801,1.9193
1729608000000,640,2,1,up,up,3,8.25,mv,mv,2.2953,2.2137
1729608300000,645,2,1,up,up,5.25,5.25,mv,mv,3.4154,1.4301
1729608600000,650,2,1,dn,up,0,0.75,nm,nm,0,0.2101
1729608900000,655,2,1,dn,up,0,0.75,nm,nm,0,0.1902
1729609200000,660,2,1,up,up,0.75,2.25,nm,nm,0.3282,0.5594
1729609500000,665,2,1,dn,up,0,0.5,nm,nm,0,0.1266
1729609800000,670,2,1,up,up,1.5,0.5,mv,nm,0.7559,0.1293
1729610100000,675,2,1,dn,up,-1,1.5,nm,nm,0.5345,0.3892
